Initial_Weights,Final_Weights,Runtime_Before,Runtime_After,Fidelity
"[1.0, 0.9998004046429494, 0.06272601677136733]","[1.0, 0.9998004046429494, -0.06272601677136733]",1.1107301679318036,1.1107301679318036,1.0
"[1.0, 2.6847154360103715, 2.0379018443456673]","[1.0, 2.6847154360103715, -2.0379018443456673]",2.148249154045439,2.148249154045439,1.0
"[1.0, 4.277650734988872, 3.1327722664744853]","[1.0, 4.277650734988872, -3.1327722664744853]",2.1612698450188104,2.1612698450188104,1.0
"[1.0, 4.8670029790472045, 3.4839225059392724]","[1.0, 4.8670029790472045, -3.4839225059392724]",2.262931599674488,2.262931599674488,1.0
"[1.0, 2.685046279230025, 2.03755644601994]","[1.0, 2.685046279230025, -2.03755644601994]",2.1482469863037568,2.1482469863037568,1.0
"[1.0, 0.0006348383708274634, 0.7145153838360875]","[1.0, 0.0006348383708274634, -0.7145153838360875]",3.42217404614017,3.42217404614017,1.0
"[1.0, 2.569669713357503, 1.9380634681960027]","[1.0, 2.569669713357503, -1.9380634681960027]",2.2399651505558937,2.2399651505558937,1.0
"[1.0, 4.105904081912733, 2.9606287303502183]","[1.0, 4.105904081912733, -2.9606287303502183]",2.259635569158773,2.259635569158773,1.0
"[1.0, 4.867410044399626, 3.4883529454604965]","[1.0, 4.867410044399626, -3.4883529454604965]",2.2609691981754056,2.2609691981754056,1.0
"[1.0, 2.684784328262629, 2.038651861532361]","[1.0, 2.684784328262629, -2.038651861532361]",2.1494083312692474,2.1494083312692474,1.0
"[1.0, 6.3850402388631, 4.527202366247593]","[1.0, 6.3850402388631, -4.527202366247593]",2.2676127788885685,2.2676127788885685,1.0
"[1.0, 1.8336162598809278, 1.4922578005491731]","[1.0, 1.8336162598809278, -1.4922578005491731]",2.1572741142215808,2.1572741142215808,1.0
"[1.0, 7.15358113867158, 5.041127999861753]","[1.0, 7.15358113867158, -5.041127999861753]",2.267972656465521,2.267972656465521,1.0
"[1.0, 2.685210886962631, 2.0392932412599776]","[1.0, 2.685210886962631, -2.0392932412599776]",2.147406926202469,2.147406926202469,1.0
