Initial_Weights,Final_Weights,Runtime_Before,Runtime_After,Fidelity
"[1.0, 0.9999867100366208, 4.183596158043224e-05]","[1.0, 0.9999867100366208, -4.183596158043224e-05]",1.110729552,1.110729552,1
"[1.0, 4.966668010139432, 3.5824101220603324]","[1.0, 4.966668010139432, -3.5824101220603324]",2.213370938,2.213370938,1
"[1.0, 2.626107662589982, 1.9870253129406752]","[1.0, 2.626107662589982, -1.9870253129406752]",2.19415966,2.19415966,1
"[1.0, 2.626107073759837, 1.9870261029710845]","[1.0, 2.626107073759837, -1.9870261029710845]",2.194158704,2.194158704,1
"[1.0, 2.626019153056227, 1.9869249483426332]","[1.0, 2.626019153056227, -1.9869249483426332]",2.194211858,2.194211858,1
"[1.0, 3.019388275770154, 2.249123071255105]","[1.0, 3.019388275770154, -2.249123071255105]",4.400760107,4.400760107,1
"[1.0, 1.8296080121756138, 1.4743588551271927]","[1.0, 1.8296080121756138, -1.4743588551271927]",2.16994866,2.16994866,1
"[1.0, 2.6261079546487336, 1.9870261662134123]","[1.0, 2.6261079546487336, -1.9870261662134123]",2.19415823,2.19415823,1
"[1.0, 3.0194099539592303, 2.2491258982020446]","[1.0, 3.0194099539592303, -2.2491258982020446]",4.400742356,4.400742356,1
"[1.0, 1.8296188185217954, 1.4743703261290761]","[1.0, 1.8296188185217954, -1.4743703261290761]",2.169908176,2.169908176,1
"[1.0, 1.8295744499799356, 1.4743567317036832]","[1.0, 1.8295744499799356, -1.4743567317036832]",2.169934767,2.169934767,1
"[1.0, 3.0193981825387555, 2.2490590885019395]","[1.0, 3.0193981825387555, -2.2490590885019395]",4.400757,4.400757,1
"[1.0, 6.514908869965452, 4.660636426543189]","[1.0, 6.514908869965452, -4.660636426543189]",2.216720165,2.216720165,1
"[1.0, 2.6261067310578965, 1.987025228330881]","[1.0, 2.6261067310578965, -1.987025228330881]",2.194161427,2.194161427,1
"[1.0, 2.6260746241928987, 1.987014939910979]","[1.0, 2.6260746241928987, -1.987014939910979]",4.388358335,4.388358335,1
"[1.0, 1.8296187015997836, 1.474369841455044]","[1.0, 1.8296187015997836, -1.474369841455044]",2.16990946,2.16990946,1
"[1.0, 8.611960365435201e-06, 0.7071082791918583]","[1.0, 8.611960365435201e-06, -0.7071082791918583]",3.420130263,3.420130263,1
"[1.0, 6.514912275744246, 4.660633424425117]","[1.0, 6.514912275744246, -4.660633424425117]",2.216719864,2.216719864,1
"[1.0, 4.190375519828131, 3.04627311787354]","[1.0, 4.190375519828131, -3.04627311787354]",2.210103095,2.210103095,1
"[1.0, 8.831622946956266, 6.284745496566233]","[1.0, 8.831622946956266, -6.284745496566233]",2.218877249,2.218877249,1
"[1.0, 0.9999817491706564, 4.565286208524695e-05]","[1.0, 0.9999817491706564, -4.565286208524695e-05]",1.110730907,1.110730907,1
"[1.0, 4.9666694857153235, 3.582410192032633]","[1.0, 4.9666694857153235, -3.582410192032633]",2.213370389,2.213370389,1
"[1.0, 4.9668665750817, 3.5826179453607008]","[1.0, 4.9668665750817, -3.5826179453607008]",2.213272343,2.213272343,1
"[1.0, 2.626107504087782, 1.9870255248803035]","[1.0, 2.626107504087782, -1.9870255248803035]",2.194158711,2.194158711,1
"[1.0, 1.0000184973490815, 2.6846516090717495e-56]","[1.0, 1.0000184973490815, -2.6846516090717495e-56]",7.774981445,7.774981445,1
"[1.0, 4.190372116427484, 3.0462740472577168]","[1.0, 4.190372116427484, -3.0462740472577168]",2.21010433,2.21010433,1
"[1.0, 2.626107336829873, 1.9870253807542082]","[1.0, 2.626107336829873, -1.9870253807542082]",2.194159368,2.194159368,1
"[1.0, 1.0000040865584785, 6.227342541056457e-05]","[1.0, 1.0000040865584785, -6.227342541056457e-05]",1.110715203,1.110715203,1
"[1.0, 8.831621549484437, 6.2847482033702]","[1.0, 8.831621549484437, -6.2847482033702]",2.218877111,2.218877111,1
"[1.0, 4.966806828558542, 3.5826025794627467]","[1.0, 4.966806828558542, -3.5826025794627467]",4.426584588,4.426584588,1
"[1.0, 1.8295317752629752, 1.4743060845089915]","[1.0, 1.8295317752629752, -1.4743060845089915]",2.169992799,2.169992799,1
"[1.0, 0.9999981628081588, 6.198910933829174e-05]","[1.0, 0.9999981628081588, -6.198910933829174e-05]",1.110726798,1.110726798,1
"[1.0, 2.6261076615696552, 1.9870260065361502]","[1.0, 2.6261076615696552, -1.9870260065361502]",2.194159057,2.194159057,1
"[1.0, 4.9668067863708085, 3.5826031433065766]","[1.0, 4.9668067863708085, -3.5826031433065766]",4.426584362,4.426584362,1
"[1.0, 0.9999737982821878, -2.2913038077640127e-05]","[1.0, 0.9999737982821878, 2.2913038077640127e-05]",1.110737932,1.110737932,1
"[1.0, 2.626103761427818, 1.9870223706681591]","[1.0, 2.626103761427818, -1.9870223706681591]",2.194170865,2.194170865,1
"[1.0, 2.626010304225161, 1.9869398727103762]","[1.0, 2.626010304225161, -1.9869398727103762]",2.194223309,2.194223309,1
"[1.0, 1.8295675952091968, 1.4743163934847048]","[1.0, 1.8295675952091968, -1.4743163934847048]",4.339929273,4.339929273,1
"[1.0, -2.762981103584755e-09, 0.707123603364736]","[1.0, -2.762981103584755e-09, -0.707123603364736]",3.420098302,3.420098302,1
"[1.0, 4.190320442978032, 3.04626247305939]","[1.0, 4.190320442978032, -3.04626247305939]",4.420247655,4.420247655,1
