Initial_Weights,Final_Weights,Runtime_Before,Runtime_After,Fidelity
"[1.0, 1.0000627779323967, 2.031426058335637]","[1.0, -1.0000627779323967, 2.031426058335637]",3.608501622,3.608501622,1
"[1.0, 2.414264979564546, -6.987956730003448e-37]","[1.0, -2.414264979564546, -6.987956730003448e-37]",3.606634972,3.606634972,1
"[1.0, 2.414183877137071, 4.863257113239482e-06]","[1.0, -2.414183877137071, 4.863257113239482e-06]",1.20224292,1.20224292,1
"[1.0, 2.414265593424699, -7.66949842023846e-12]","[1.0, -2.414265593424699, -7.66949842023846e-12]",3.606636449,3.606636449,1
"[1.0, 1.0000669533549078, 2.0314323082702863]","[1.0, -1.0000669533549078, 2.0314323082702863]",3.60849027,3.60849027,1
"[1.0, 1.0001094131525905, 2.8383986986304652]","[1.0, -1.0001094131525905, 2.8383986986304652]",6.271967381,6.271967381,1
"[1.0, 2.4142403102612335, 3.610316794418819e-05]","[1.0, -2.4142403102612335, 3.610316794418819e-05]",1.202226588,1.202226588,1
"[1.0, 0.9999915036797877, 1.296416251389392]","[1.0, -0.9999915036797877, 1.296416251389392]",4.038829705,4.038829705,1
"[1.0, 2.4142639834103505, -6.431435638295077e-10]","[1.0, -2.4142639834103505, -6.431435638295077e-10]",3.606639422,3.606639422,1
"[1.0, 1.0001342865757132, 4.264250107353341]","[1.0, -1.0001342865757132, 4.264250107353341]",3.683711795,3.683711795,1
"[1.0, 2.414266312599247, 6.232261446758133e-74]","[1.0, -2.414266312599247, 6.232261446758133e-74]",6.011061779,6.011061779,1
"[1.0, 1.0001274936176199, 4.264640545001713]","[1.0, -1.0001274936176199, 4.264640545001713]",1.227785759,1.227785759,1
"[1.0, 1.0000672571444604, 0.4781038628347857]","[1.0, -1.0000672571444604, 0.4781038628347857]",2.190311489,2.190311489,1
"[1.0, 2.4141827415615524, -4.432310998526415e-06]","[1.0, -2.4141827415615524, -4.432310998526415e-06]",1.202255354,1.202255354,1
"[1.0, 0.9999911949594547, 1.6330045239292843]","[1.0, -0.9999911949594547, 1.6330045239292843]",1.923822082,1.923822082,1
"[1.0, 1.0000678911717877, 0.4781034622718982]","[1.0, -1.0000678911717877, 0.4781034622718982]",2.190313873,2.190313873,1
"[1.0, 1.0000668024069261, 0.4781037273251023]","[1.0, -1.0000668024069261, 0.4781037273251023]",2.190312091,2.190312091,1
"[1.0, 0.999999129841404, 1.6329609390345385]","[1.0, -0.999999129841404, 1.6329609390345385]",1.923849528,1.923849528,1
"[1.0, 1.0001168600232988, 3.2072873608895]","[1.0, -1.0001168600232988, 3.2072873608895]",2.938548708,2.938548708,1
"[1.0, 1.0001495644623593, 4.264277174537256]","[1.0, -1.0001495644623593, 4.264277174537256]",3.683628415,3.683628415,1
"[1.0, 2.4142177900285198, -1.791240201052915e-05]","[1.0, -2.4142177900285198, -1.791240201052915e-05]",1.202246656,1.202246656,1
"[1.0, 1.0000667664681648, 2.0314318871757537]","[1.0, -1.0000667664681648, 2.0314318871757537]",3.608491026,3.608491026,1
"[1.0, 2.4141885160836454, 2.376179105353446e-06]","[1.0, -2.4141885160836454, 2.376179105353446e-06]",1.202278313,1.202278313,1
"[1.0, 2.4142576962513105, 4.771813381839824e-06]","[1.0, -2.4142576962513105, 4.771813381839824e-06]",1.202210103,1.202210103,1
"[1.0, 2.414266709402213, 5.058306909986365e-35]","[1.0, -2.414266709402213, 5.058306909986365e-35]",8.415489002,8.415489002,1
"[1.0, 1.000118226943861, 3.2072874825407336]","[1.0, -1.000118226943861, 3.2072874825407336]",2.938548369,2.938548369,1
"[1.0, 1.000177767159788, 0.23654767723475098]","[1.0, -1.000177767159788, 0.23654767723475098]",4.427013769,4.427013769,1
"[1.0, 2.4141784487346474, 1.7589122906884645e-05]","[1.0, -2.4141784487346474, 1.7589122906884645e-05]",1.202243804,1.202243804,1
