Initial_Weights,Final_Weights,Runtime_Before,Runtime_After,Fidelity
"[1.0, 1.07363619464593, 2.1343224676843566]","[1.0, -1.07363619464593, 2.1343224676843566]",3.440721311683907,3.440721311683907,1.0
"[1.0, 1.1302011218956045, 3.1858213000546103]","[1.0, -1.1302011218956045, 3.1858213000546103]",4.277737477318532,4.277737477318532,1.0
"[1.0, 1.0882875240108718, 2.37814883442323]","[1.0, -1.0882875240108718, 2.37814883442323]",6.607767346166715,6.607767346166715,1.0
"[1.0, 1.19287185001297, 4.56990004126086]","[1.0, -1.19287185001297, 4.56990004126086]",3.430033950436181,3.430033950436181,1.0
"[1.0, 1.1299723246317661, 3.361843488899422]","[1.0, -1.1299723246317661, 3.361843488899422]",2.797999774475569,2.797999774475569,1.0
"[1.0, 2.3805997979751523, -0.021201696145168203]","[1.0, -2.3805997979751523, -0.021201696145168203]",1.2291457256038087,1.2291457256038087,1.0
"[1.0, 1.1299280085542645, 3.3620793185146494]","[1.0, -1.1299280085542645, 3.3620793185146494]",2.797714928443732,2.797714928443732,1.0
"[1.0, 1.1290315799057538, 3.36225134543591]","[1.0, -1.1290315799057538, 3.36225134543591]",2.7977780323684445,2.7977780323684445,1.0
"[1.0, 2.4591731464569153, -0.014780127259056551]","[1.0, -2.4591731464569153, -0.014780127259056551]",1.1942486871856817,1.1942486871856817,1.0
"[1.0, 0.935419119049948, 0.46383595298069574]","[1.0, -0.935419119049948, 0.46383595298069574]",2.249415486278334,2.249415486278334,1.0
"[1.0, 1.1302129266515788, 3.185802563546056]","[1.0, -1.1302129266515788, 3.185802563546056]",4.277835235270543,4.277835235270543,1.0
"[1.0, 1.0080959797524198, 1.3052090872887194]","[1.0, -1.0080959797524198, 1.3052090872887194]",4.023332993236149,4.023332993236149,1.0
"[1.0, 1.073447362728504, 2.134032387398706]","[1.0, -1.073447362728504, 2.134032387398706]",3.441601322613194,3.441601322613194,1.0
"[1.0, 1.1933090761794705, 4.570064741875786]","[1.0, -1.1933090761794705, 4.570064741875786]",3.429864062543758,3.429864062543758,1.0
