Initial_Weights,Final_Weights,Runtime_Before,Runtime_After,Fidelity
"[1.0, 1.0000000430854057, -1.4563746766120135e-06]","[1.0, 1.0000000430854057, 1.4563746766120135e-06]",1.1107206785677248,1.1107206785677248,1.0
"[1.0, 0.9999994875322146, -4.185179819090219e-07]","[1.0, 0.9999994875322146, 4.185179819090219e-07]",1.1107209092826533,1.1107209092826533,1.0
"[1.0, 1.000000096171838, 4.0229354247986616e-07]","[1.0, 1.000000096171838, -4.0229354247986616e-07]",1.1107203620585309,1.1107203620585309,1.0
"[1.0, 1.8295741198896285, 1.474337218258286]","[1.0, 1.8295741198896285, -1.474337218258286]",2.169952102801465,2.169952102801465,1.0
"[1.0, 6.515031592899615, 4.66077312237574]","[1.0, 6.515031592899615, -4.66077312237574]",2.2166716573133796,2.2166716573133796,1.0
"[1.0, 0.999999882681333, -1.9527318081333168e-06]","[1.0, 0.999999882681333, 1.9527318081333168e-06]",1.1107209095121509,1.1107209095121509,1.0
"[1.0, 4.190286191473313, 3.0461851966572087]","[1.0, 4.190286191473313, -3.0461851966572087]",2.21015354811353,2.21015354811353,1.0
"[1.0, 0.9999998993772948, -7.129636866550134e-07]","[1.0, 0.9999998993772948, 7.129636866550134e-07]",3.3321617191276056,3.3321617191276056,1.0
"[1.0, 1.4218099169058493, 1.2291346399776408]","[1.0, 1.4218099169058493, -1.2291346399776408]",4.288203328480173,4.288203328480173,1.0
"[1.0, 4.190291562190012, 3.046190572715612]","[1.0, 4.190291562190012, -3.046190572715612]",2.2101505023103294,2.2101505023103294,1.0
"[1.0, 0.9999995049712457, 2.2532669601919377e-07]","[1.0, 0.9999995049712457, -2.2532669601919377e-07]",1.1107205863512069,1.1107205863512069,1.0
"[1.0, 2.6260527751986107, 1.9869771197637223]","[1.0, 2.6260527751986107, -1.9869771197637223]",2.194203240285649,2.194203240285649,1.0
"[1.0, 1.829576767196629, 1.4743388038769978]","[1.0, 1.829576767196629, -1.4743388038769978]",2.1699498212404,2.1699498212404,1.0
"[1.0, 1.8295769040517138, 1.4743390872004336]","[1.0, 1.8295769040517138, -1.4743390872004336]",2.1699495700688707,2.1699495700688707,1.0
"[1.0, 3.875065084009477e-08, 0.7071072634372801]","[1.0, 3.875065084009477e-08, -0.7071072634372801]",13.680528680753262,13.680528680753262,1.0
"[1.0, 1.829576796794524, 1.4743389704963579]","[1.0, 1.829576796794524, -1.4743389704963579]",2.1699498682966705,2.1699498682966705,1.0
"[1.0, 1.0000009736532498, 1.343394741471201e-10]","[1.0, 1.0000009736532498, -1.343394741471201e-10]",3.332160553464539,3.332160553464539,1.0
"[1.0, 0.9999990988945721, -6.372832334158639e-07]","[1.0, 0.9999990988945721, 6.372832334158639e-07]",1.1107212266570758,1.1107212266570758,1.0
"[1.0, 4.966767805859688, 3.5825097108373787]","[1.0, 4.966767805859688, -3.5825097108373787]",4.42664462881604,4.42664462881604,1.0
"[1.0, 1.829576822324173, 1.4743392162611422]","[1.0, 1.829576822324173, -1.4743392162611422]",2.1699495005312683,2.1699495005312683,1.0
"[1.0, 7.287800965791545, 5.2015386755525235]","[1.0, 7.287800965791545, -5.2015386755525235]",2.217618091620923,2.217618091620923,1.0
"[1.0, 0.9999993781516475, 1.0064494053888103e-06]","[1.0, 0.9999993781516475, -1.0064494053888103e-06]",1.110721069756048,1.110721069756048,1.0
"[1.0, 2.6260527073545514, 1.986977127650279]","[1.0, 2.6260527073545514, -1.986977127650279]",2.194203305641592,2.194203305641592,1.0
"[1.0, 2.626052765144188, 1.986977158010557]","[1.0, 2.626052765144188, -1.986977158010557]",2.1942032388618466,2.1942032388618466,1.0
"[1.0, 1.4218091270772508, 1.2291342647844747]","[1.0, 1.4218091270772508, -1.2291342647844747]",4.288204588523606,4.288204588523606,1.0
"[1.0, 1.0000000477251871, -1.8075472637905347e-06]","[1.0, 1.0000000477251871, 1.8075472637905347e-06]",1.110720678491538,1.110720678491538,1.0
"[1.0, 4.190289803246081, 3.0461902989145426]","[1.0, 4.190289803246081, -3.0461902989145426]",4.420302311859908,4.420302311859908,1.0
