Initial_Weights,Final_Weights,Runtime_Before,Runtime_After,Fidelity
"[1.0, 0.5163977791040121, 1.0]","[-1.0, 0.5163977791040121, -1.0]",3.043224841263472,3.043224841263472,1.0
"[1.0, -0.2519763151128192, 1.0]","[-1.0, -0.2519763151128192, -1.0]",6.235895716512908,6.235895716512908,1.0
"[1.0, 0.8090399266807671, 1.0]","[-1.0, 0.8090399266807671, -1.0]",5.823707582309139,5.823707582309139,1.0
"[1.0, 4.587317100652229, 1.0]","[-1.0, 4.587317100652229, -1.0]",3.767103881950042,3.767103881950042,1.0
