Initial_Weights,Final_Weights,Runtime_Before,Runtime_After,Fidelity
"[1.0, -2.267786840422201, 1.0]","[-1.0, -2.267786840422201, -1.0]",2.077304562,2.077304562,1
"[1.0, 1.6012815385662786, 1.0]","[-1.0, 1.6012815385662786, -1.0]",4.904019911,4.904019911,1
"[1.0, -5.388159048452486, 1.0]","[-1.0, -5.388159048452486, -1.0]",4.373342537,4.373342537,1
"[1.0, -5.388159073147655, 1.0]","[-1.0, -5.388159073147655, -1.0]",4.37248137,4.37248137,1
"[1.0, 0.5163979082935659, 1.0]","[-1.0, 0.5163979082935659, -1.0]",3.041398719,3.041398719,1
"[1.0, 6.709789588696451, 1.0]","[-1.0, 6.709789588696451, -1.0]",5.384804545,5.384804545,1
