Initial_Weights,Final_Weights,Runtime_Before,Runtime_After,Fidelity
"[1.0, 0.5164098863031052, 1.0]","[-1.0, 0.5164098863031052, -1.0]",2.997830138505086,2.997830138505086,1.0
"[1.0, -2.2678617036100297, 1.0]","[-1.0, -2.2678617036100297, -1.0]",2.056970787384483,2.056970787384483,1.0
"[1.0, -6.7090759263066415, 1.0]","[-1.0, -6.7090759263066415, -1.0]",5.3968314716198345,5.3968314716198345,1.0
"[1.0, -7.282230364880214, 1.0]","[-1.0, -7.282230364880214, -1.0]",5.812738328176533,5.812738328176533,1.0
"[1.0, -5.387746315174268, 1.0]","[-1.0, -5.387746315174268, -1.0]",4.38665275752537,4.38665275752537,1.0
"[1.0, -3.6149564480224345, 1.0]","[-1.0, -3.6149564480224345, -1.0]",3.0251796045616377,3.0251796045616377,1.0
"[1.0, -0.516401867331341, 1.0]","[-1.0, -0.516401867331341, -1.0]",9.081505931748238,9.081505931748238,1.0
"[1.0, 0.5164099140897734, 1.0]","[-1.0, 0.5164099140897734, -1.0]",2.997834172667236,2.997834172667236,1.0
"[1.0, 6.708450727943094, 1.0]","[-1.0, 6.708450727943094, -1.0]",5.396346273766207,5.396346273766207,1.0
"[1.0, 6.08419311515616, 1.0]","[-1.0, 6.08419311515616, -1.0]",4.917738465780276,4.917738465780276,1.0
"[1.0, 8.773975800409719, 1.0]","[-1.0, 8.773975800409719, -1.0]",6.9916217841472985,6.9916217841472985,1.0
"[1.0, 7.8126377617077445, 1.0]","[-1.0, 7.8126377617077445, -1.0]",6.222514922131071,6.222514922131071,1.0
"[1.0, 5.388583386323416, 1.0]","[-1.0, 5.388583386323416, -1.0]",4.359195261244442,4.359195261244442,1.0
"[1.0, 1.6012977635666237, 1.0]","[-1.0, 1.6012977635666237, -1.0]",4.879831471404193,4.879831471404193,1.0
"[1.0, -1.6011410536198194, 1.0]","[-1.0, -1.6011410536198194, -1.0]",4.899203941363046,4.899203941363046,1.0
"[1.0, 3.6146031975148905, 1.0]","[-1.0, 3.6146031975148905, -1.0]",3.0584934045285803,3.0584934045285803,1.0
"[1.0, 2.267863460226924, 1.0]","[-1.0, 2.267863460226924, -1.0]",2.056970426146131,2.056970426146131,1.0
"[1.0, 1.6010821844220207, 1.0]","[-1.0, 1.6010821844220207, -1.0]",4.902616926693969,4.902616926693969,1.0
"[1.0, 3.6147284982652095, 1.0]","[-1.0, 3.6147284982652095, -1.0]",9.14216467852504,9.14216467852504,1.0
"[1.0, 8.773772070160163, 1.0]","[-1.0, 8.773772070160163, -1.0]",6.991452427005508,6.991452427005508,1.0
"[1.0, 8.773792350250774, 1.0]","[-1.0, 8.773792350250774, -1.0]",6.991468218558705,6.991468218558705,1.0
"[1.0, 7.80984826605487, 1.0]","[-1.0, 7.80984826605487, -1.0]",6.245266672790634,6.245266672790634,1.0
"[1.0, 2.2674784523711757, 1.0]","[-1.0, 2.2674784523711757, -1.0]",2.0676755925379595,2.0676755925379595,1.0
"[1.0, -0.8090191822003477, 1.0]","[-1.0, -0.8090191822003477, -1.0]",5.7966925196429,5.7966925196429,1.0
"[1.0, -2.267710367736186, 1.0]","[-1.0, -2.267710367736186, -1.0]",2.0989543729047453,2.0989543729047453,1.0
"[1.0, 0.5163851845452404, 1.0]","[-1.0, 0.5163851845452404, -1.0]",3.0858375297265126,3.0858375297265126,1.0
"[1.0, 4.588144246178676, 1.0]","[-1.0, 4.588144246178676, -1.0]",3.7517244814215482,3.7517244814215482,1.0
"[1.0, 7.810014983907429, 1.0]","[-1.0, 7.810014983907429, -1.0]",6.2453960312779655,6.2453960312779655,1.0
"[1.0, 9.646244988906716, 1.0]","[-1.0, 9.646244988906716, -1.0]",7.644733198028323,7.644733198028323,1.0
