Initial_Weights,Final_Weights,Runtime_Before,Runtime_After,Fidelity
"[1.0, -2.267786840422201, 1.0]","[-1.0, -2.267786840422201, -1.0]",2.07730456183815,2.07730456183815,1.0
"[1.0, 1.6012815385662786, 1.0]","[-1.0, 1.6012815385662786, -1.0]",4.904019911331118,4.904019911331118,1.0
"[1.0, -5.388159048452486, 1.0]","[-1.0, -5.388159048452486, -1.0]",4.373342537126803,4.373342537126803,1.0
"[1.0, -5.388159073147655, 1.0]","[-1.0, -5.388159073147655, -1.0]",4.372481370238485,4.372481370238485,1.0
"[1.0, 0.5163979082935659, 1.0]","[-1.0, 0.5163979082935659, -1.0]",3.0413987191225633,3.0413987191225633,1.0
"[1.0, 6.709789588696451, 1.0]","[-1.0, 6.709789588696451, -1.0]",5.384804545171915,5.384804545171915,1.0
