Initial_Weights,Final_Weights,Runtime_Before,Runtime_After,Fidelity
"[1.0, 0.25197632044729584, 1.0]","[-1.0, 0.25197632044729584, -1.0]",6.235895800789836,6.235895800789836,1.0
"[1.0, 4.58731710064466, 1.0]","[-1.0, 4.58731710064466, -1.0]",3.7671040256289516,3.7671040256289516,1.0
"[1.0, -2.2677868589980053, 1.0]","[-1.0, -2.2677868589980053, -1.0]",6.233319161328418,6.233319161328418,1.0
"[1.0, -5.388159048466672, 1.0]","[-1.0, -5.388159048466672, -1.0]",4.373342406535251,4.373342406535251,1.0
"[1.0, -3.61478445114517, 1.0]","[-1.0, -3.61478445114517, -1.0]",3.0423598818168105,3.0423598818168105,1.0
"[1.0, -7.811265804641422, 1.0]","[-1.0, -7.811265804641422, -1.0]",6.233546814243778,6.233546814243778,1.0
"[1.0, -6.084869828320212, 1.0]","[-1.0, -6.084869828320212, -1.0]",4.90521538615719,4.90521538615719,1.0
