Time,Fidelity
0,0.0
0.001,5.555553330402453e-20
0.002,3.5555498647950436e-18
0.003,4.049985417888509e-17
0.004,2.2755409908444943e-16
0.005,8.680468745840363e-16
0.006,2.591962674092737e-15
0.007,6.535927446634314e-15
0.008,1.4563182725365852e-14
0.009000000000000001,2.952354340528909e-14
0.010000000000000002,5.555333334608504e-14
0.011000000000000003,9.841529208204093e-14
0.012000000000000004,1.6587844502412083e-13
0.013000000000000005,2.681379286445953e-13
0.014000000000000005,4.1827476123919057e-13
0.015000000000000006,6.327555489666802e-13
0.016000000000000007,9.319721159709409e-13
0.017000000000000008,1.3408210464957953e-12
0.01800000000000001,1.889323126008447e-12
0.01900000000000001,2.613282667453077e-12
0.02000000000000001,3.5549867078620606e-12
0.02100000000000001,4.763944059658536e-12
0.022000000000000013,6.297664200090552e-12
0.023000000000000013,8.222475981343632e-12
0.024000000000000014,1.061438614298586e-11
0.025000000000000015,1.3559977607506817e-11
0.026000000000000016,1.7157347538819417e-11
0.027000000000000017,2.151708514270175e-11
0.028000000000000018,2.6763289187264564e-11
0.02900000000000002,3.303462522063844e-11
0.03000000000000002,4.0485422462184015e-11
0.03100000000000002,4.928681034263913e-11
0.03200000000000002,5.962789466772409e-11
0.03300000000000002,7.1716973378841e-11
0.03400000000000002,8.578279188360792e-11
0.035000000000000024,1.0207583792808804e-10
0.036000000000000025,1.2086967598167667e-10
0.037000000000000026,1.4246232110472834e-10
0.03800000000000003,1.6717765226811671e-10
0.03900000000000003,1.9536686509303203e-10
0.04000000000000003,2.2740996397843527e-10
0.04100000000000003,2.6371729358270625e-10
0.04200000000000003,3.047311096251304e-10
0.04300000000000003,3.50927188971994e-10
0.04400000000000003,4.028164789711622e-10
0.04500000000000003,4.6094678599814964e-10
0.046000000000000034,5.259045031757765e-10
0.047000000000000035,5.983163772286768e-10
0.048000000000000036,6.788513144329723e-10
0.04900000000000004,7.682222256206198e-10
0.05000000000000004,8.671879101969897e-10
0.05100000000000004,9.76554979129424e-10
0.05200000000000004,1.0971798168635714e-09
0.05300000000000004,1.2299705821234865e-09
0.05400000000000004,1.3758892475505406e-09
0.05500000000000004,1.5359536781353994e-09
0.05600000000000004,1.7112397483963076e-09
0.057000000000000044,1.9028834982562526e-09
0.058000000000000045,2.1120833275704553e-09
0.059000000000000045,2.3401022292550072e-09
0.060000000000000046,2.5882700609664212e-09
0.06100000000000005,2.857985855281073e-09
0.06200000000000005,3.1507201683226396e-09
0.06300000000000004,3.4680174667847373e-09
0.06400000000000004,3.811498553295144e-09
0.06500000000000004,4.182863030067045e-09
0.06600000000000004,4.583891800781953e-09
0.06700000000000005,5.0164496106481e-09
0.06800000000000005,5.482487624577031e-09
0.06900000000000005,5.984046043420687e-09
0.07000000000000005,6.523256758209815e-09
0.07100000000000005,7.102346042334342e-09
0.07200000000000005,7.723637281604887e-09
0.07300000000000005,8.389553742134065e-09
0.07400000000000005,9.102621375975431e-09
0.07500000000000005,9.865471664456766e-09
0.07600000000000005,1.0680844499143724e-08
0.07700000000000005,1.1551591100369143e-08
0.07800000000000006,1.2480676973262057e-08
0.07900000000000006,1.3471184901210168e-08
0.08000000000000006,1.4526317976688142e-08
0.08100000000000006,1.564940266938332e-08
0.08200000000000006,1.6843891931550438e-08
0.08300000000000006,1.811336834052428e-08
0.08400000000000006,1.9461547278320564e-08
0.08500000000000006,2.0892280148252685e-08
0.08600000000000006,2.2409557628492112e-08
0.08700000000000006,2.4017512962499086e-08
0.08800000000000006,2.572042528624907e-08
0.08900000000000007,2.7522722992180905e-08
0.09000000000000007,2.9428987129789298e-08
0.09100000000000007,3.14439548427865e-08
0.09200000000000007,3.357252284275443e-08
0.09300000000000007,3.581975091920966e-08
0.09400000000000007,3.819086548600137e-08
0.09500000000000007,4.069126316396303e-08
0.09600000000000007,4.332651439973613e-08
